questao_numero,retrieval_recall,has_doc_ref,abstained,z_winner,i_star,eta,z_agent_qwen35_9b,z_agent_granite41_8b,z_agent_gemma4_e4b,confidence_raw_qwen35_9b,confidence_raw_granite41_8b,confidence_raw_gemma4_e4b,confidence_calib_qwen35_9b,confidence_calib_granite41_8b,confidence_calib_gemma4_e4b,fold_k
107,0.3333333333333333,True,False,0,gemma4_e4b,0.8444444444444444,0,0,0,0.95,0.98,1.0,0.21851851851851853,0.3230769230769231,0.41975308641975306,1
108,0.3333333333333333,True,False,0,qwen35_9b,0.9266920741027574,0,0,0,0.95,0.95,0.95,0.23741007194244604,0.20425531914893616,0.15178571428571427,0
109,0.6666666666666666,True,False,0,qwen35_9b,0.9291118077324974,0,0,0,0.95,0.95,0.9,0.23272727272727273,0.19480519480519481,0.1509433962264151,2
110,0.3333333333333333,True,False,0,gemma4_e4b,0.8350017101812792,0,0,0,0.95,0.95,1.0,0.21323529411764705,0.20353982300884957,0.44081632653061226,3
111,0.0,True,True,0,granite41_8b,0.9785200635058992,0,0,0,0.3,0.85,0.1,0.0,0.06593406593406594,0.0,6
112,0.5,True,False,1,gemma4_e4b,0.8350017101812792,1,1,1,0.95,0.98,1.0,0.21323529411764705,0.3851851851851852,0.44081632653061226,3
113,0.6666666666666666,True,False,0,granite41_8b,0.9306372670193306,0,0,0,0.9,0.95,0.9,0.21323529411764705,0.20353982300884957,0.18181818181818182,3
114,0.3333333333333333,True,False,0,granite41_8b,0.7632093933463796,0,0,0,0.95,1.0,1.0,0.24621212121212122,0.7142857142857143,0.45267489711934156,9
115,0.5,True,False,1,gemma4_e4b,0.8444444444444444,0,1,1,0.95,0.98,1.0,0.21851851851851853,0.3230769230769231,0.41975308641975306,1
116,1.0,True,False,1,gemma4_e4b,0.8395633248117184,0,0,1,0.95,0.95,1.0,0.23741007194244604,0.20425531914893616,0.43902439024390244,5
117,0.5,True,False,0,gemma4_e4b,0.8566964955256711,0,0,0,0.95,0.95,1.0,0.22743682310469315,0.20425531914893616,0.4066390041493776,4
118,1.0,True,False,0,qwen35_9b,0.8383251315119633,0,0,1,1.0,0.95,1.0,0.5211267605633803,0.20425531914893616,0.4066390041493776,4
119,0.5,True,False,0,gemma4_e4b,0.8350017101812792,0,0,0,0.95,0.95,1.0,0.21323529411764705,0.20353982300884957,0.44081632653061226,3
120,0.6666666666666666,True,False,0,qwen35_9b,0.9266920741027574,0,0,1,0.95,0.92,0.6,0.23741007194244604,0.06593406593406594,0.07407407407407407,0
121,1.0,True,False,0,gemma4_e4b,0.8395633248117184,1,1,0,0.95,0.95,1.0,0.23741007194244604,0.20425531914893616,0.43902439024390244,6
122,1.0,True,False,0,qwen35_9b,0.839093137254902,0,0,0,1.0,0.95,1.0,0.5416666666666666,0.21030042918454936,0.41975308641975306,1
123,0.14285714285714285,True,False,0,gemma4_e4b,0.8444444444444444,0,0,0,0.95,0.95,1.0,0.21851851851851853,0.21030042918454936,0.41975308641975306,1
124,1.0,True,False,1,gemma4_e4b,0.8350017101812792,0,1,1,0.95,0.95,1.0,0.21323529411764705,0.20353982300884957,0.44081632653061226,3
125,1.0,True,False,0,gemma4_e4b,0.8507925897631781,0,0,0,0.95,0.95,1.0,0.23880597014925373,0.2079646017699115,0.42016806722689076,8
126,,False,False,1,qwen35_9b,0.9280868385345997,1,0,0,0.95,0.95,0.8,0.23880597014925373,0.2079646017699115,0.08620689655172414,8
